"VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib) Y","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib) Y","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib) X","VOUT_temp (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib) Y"
32,2.493052748563448,32,2.28812003239231,32,2.682807600217829
33,2.490716881146217,33,2.285526651853926,33,2.680698272939559
34,2.488387362808378,34,2.282940188846545,34,2.678594806045844
35,2.486064172001009,35,2.280360620612317,35,2.676497179059992
36,2.483747287314238,36,2.277787924541643,36,2.674405371636207
37,2.481436687475568,37,2.275222078171343,37,2.672319363557875
38,2.479132351348131,38,2.272663059182788,38,2.670239134736013
39,2.476834257929015,39,2.270110845400111,39,2.668164665207626
40,2.474542386347561,40,2.267565414788398,40,2.666095935134193
41,2.472256715863722,41,2.26502674545189,41,2.664032924800072
42,2.469977225866437,42,2.262494815632301,42,2.661975614610981
43,2.467703895872015,43,2.259969603707022,43,2.659923985092501
44,2.465436705522502,44,2.257451088187431,44,2.657878016888508
45,2.463175634584179,45,2.254939247717219,45,2.655837690759802
46,2.4609206629459,46,2.25243406107068,46,2.653802987582534
47,2.458671770617627,47,2.249935507151096,47,2.651773888346801
48,2.456428937728872,48,2.24744356498909,48,2.649750374155256
49,2.454192144527183,49,2.244958213740945,49,2.647732426221573
50,2.451961371376639,50,2.242479432687116,50,2.645720025869164
51,2.449736598756414,51,2.240007201230559,51,2.643713154529759
52,2.447517807259257,52,2.237541498895208,52,2.641711793741993
53,2.445304977590093,53,2.235082305324402,53,2.639715925150056
54,2.443098090564562,54,2.232629600279344,54,2.637725530502395
55,2.440897127107613,55,2.230183363637603,55,2.635740591650331
56,2.438702068252088,56,2.227743575391591,56,2.633761090546751
57,2.436512895137318,57,2.225310215647099,57,2.631787009244833
58,2.434329589007803,58,2.222883264621793,58,2.62981832989671
59,2.43215213121177,59,2.220462702643754,59,2.627855034752216
60,2.42998050319991,60,2.218048510150054,60,2.625897106157622
61,2.427814686523913,61,2.215640667685313,61,2.623944526554332
62,2.425654662835288,62,2.21323915590028,62,2.621997278477703
63,2.423500413883971,63,2.210843955550382,63,2.620055344555777
64,2.421351921516965,64,2.208455047494409,64,2.61811870750803
65,2.419209167677177,65,2.206072412693074,65,2.616187350144221
66,2.417072134402072,66,2.203696032207658,66,2.614261255363149
67,2.414940803822355,67,2.201325887198653,67,2.612340406151454
68,2.412815158160826,68,2.19896195892438,68,2.610424785582449
69,2.410695179731,69,2.196604228739745,69,2.608514376814966
70,2.408580850935967,70,2.194252678094777,70,2.606609163092125
71,2.406472154267143,71,2.191907288533445,71,2.604709127740297
72,2.404369072303011,72,2.189568041692249,72,2.60281425416779
73,2.402271587707927,73,2.187234919299002,73,2.600924525863878
74,2.400179683230971,74,2.184907903171496,74,2.599039926397567
75,2.398093341704648,75,2.182586975216209,75,2.597160439416522
76,2.396012546043831,76,2.180272117427116,76,2.595286048645912
77,2.393937279244464,77,2.177963311884364,77,2.593416737887342
78,2.391867524382477,78,2.175660540753033,78,2.59155249101775
79,2.389803264612592,79,2.17336378628189,79,2.589693291988286
80,2.387744483167148,80,2.171073030802171,80,2.587839124823249
81,2.385691163355031,81,2.168788256726409,81,2.585989973619025
82,2.383643288560462,82,2.166509446547081,82,2.58414582254298
83,2.381600842241886,83,2.164236582835525,83,2.582306655832412
84,2.37956380793086,84,2.161969648240675,84,2.580472457793508
85,2.37753216923094,85,2.159708625487879,85,2.578643212800291
86,2.375505909816522,86,2.157453497377734,86,2.576818905293512
87,2.37348501343181,87,2.155204246784871,87,2.574999519779722
88,2.371469463889678,88,2.152960856656821,88,2.573185040830134
89,2.369459245070594,89,2.150723310012778,89,2.571375453079637
90,2.367454340921457,90,2.148491589942536,90,2.569570741225802
91,2.3654547354547,91,2.146265679605273,91,2.567770890027802
92,2.363460412746986,92,2.144045562228389,92,2.565975884305441
93,2.361471356938311,93,2.141831221106452,93,2.564185708938163
94,2.359487552230898,94,2.139622639599971,94,2.562400348864009
95,2.357508982888096,95,2.137419801134309,95,2.560619789078617
96,2.355535633233385,96,2.135222689198564,96,2.558844014634282
97,2.353567487649318,97,2.133031287344471,97,2.557073010638939
98,2.351604530576441,98,2.130845579185258,98,2.555306762255178
99,2.349646746512332,99,2.128665548394556,99,2.553545254699295
100,2.347694120010542,100,2.126491178705353,100,2.551788473240276
101,2.345746635679557,101,2.124322453908843,101,2.550036403198909
102,2.343804278181824,102,2.122159357853372,102,2.548289029946725
103,2.341867032232705,103,2.12000187444339,103,2.546546338905172
104,2.339934882599524,104,2.117849987638374,104,2.544808315544569
105,2.338007814100555,105,2.115703681451737,105,2.543074945383192
106,2.33608581160399,106,2.113562939949849,106,2.541346213986398
107,2.334168860027073,107,2.111427747250944,107,2.539622106965598
108,2.332256944335039,108,2.109298087524132,108,2.537902609977466
109,2.330350049540207,109,2.107173944988359,109,2.536187708722931
110,2.328448160701001,110,2.105055303911382,110,2.534477388946305
111,2.326551262921012,111,2.102942148608833,111,2.532771636434429
112,2.324659341348155,112,2.100834463443194,112,2.531070437015761
113,2.322772381173598,113,2.098732232822804,113,2.529373776559487
114,2.320890367630993,114,2.096635441200978,114,2.527681640974718
115,2.31901328599555,115,2.09454407307495,115,2.525994016209606
116,2.317141121583121,116,2.092458112985085,116,2.524310888250476
117,2.315273859749396,117,2.09037754551387,117,2.522632243121103
118,2.313411485889009,118,2.08830235528505,118,2.520958066881797
119,2.311553985434768,119,2.086232526962744,119,2.519288345628704
120,2.309701343856778,120,2.084168045250645,120,2.517623065492963
121,2.307853546661723,121,2.082108894891101,121,2.515962212640012
122,2.306010579392059,122,2.080055060664414,122,2.514305773268784
123,2.30417242762528,123,2.078006527387962,123,2.51265373361107
124,2.30233907697321,124,2.07596327991554,124,2.511006079930774
125,2.300510513081281,125,2.07392530313655,125,2.509362798523289
