"IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) YReImag","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) YReImag","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) YReImag"
1,2.290083944700427e-08,1.028107696385498e-13,1,1.515034142585137e-08,9.96975045046049e-14,1,3.406709492281834e-08,1.060774277195857e-13
1.122018454301963,2.290083944700427e-08,1.153555808354404e-13,1.122018454301963,1.515034142585137e-08,1.118624399020191e-13,1.122018454301963,3.406709492281834e-08,1.190208314862575e-13
1.258925411794167,2.290083944700427e-08,1.294310905040854e-13,1.258925411794167,1.515034142585137e-08,1.255117219133089e-13,1.258925411794167,3.406709492281834e-08,1.335435693739446e-13
1.412537544622754,2.290083944700427e-08,1.452240721060105e-13,1.412537544622754,1.515034142585137e-08,1.408264682179474e-13,1.412537544622754,3.406709492281834e-08,1.498383492909196e-13
1.584893192461113,2.290083944700427e-08,1.629440889118215e-13,1.584893192461113,1.515034142585137e-08,1.58009896194704e-13,1.584893192461113,3.406709492281834e-08,1.681213930665544e-13
1.778279410038922,2.290083944700427e-08,1.828262747784818e-13,1.778279410038922,1.515034142585137e-08,1.772900194927928e-13,1.778279410038922,3.406709492281834e-08,1.886353055836269e-13
1.995262314968879,2.290083944700427e-08,2.051344542327357e-13,1.995262314968879,1.515034142585137e-08,1.989226736344648e-13,1.995262314968879,3.406709492281834e-08,2.116522939977176e-13
2.238721138568339,2.290083944700427e-08,2.301646432622873e-13,2.238721138568339,1.515034142585137e-08,2.231949107969509e-13,2.238721138568339,3.406709492281834e-08,2.374777797607813e-13
2.511886431509579,2.290083944700427e-08,2.582489772681093e-13,2.511886431509579,1.515034142585137e-08,2.504288088204521e-13,2.511886431509579,3.406709492281834e-08,2.664544513782501e-13
2.818382931264452,2.290083944700427e-08,2.897601182994197e-13,2.818382931264452,1.515034142585137e-08,2.809857449853951e-13,2.818382931264452,3.406709492281834e-08,2.989668116772964e-13
